,name,avglabelcost,avgMAUC,avgGmeans,avgF1Score,avgPrecision,avgRecall,avgFPR,avgCorrectRate,avgKappaStatistic,F1 Score for class 0 (percent),F1 Score for class 1 (percent),F1 Score for class 2 (percent),F1 Score for class 3 (percent),F1 Score for class 4 (percent),F1 Score for class 5 (percent),F1 Score for class 6 (percent),Precision for class 0 (percent),Precision for class 1 (percent),Precision for class 2 (percent),Precision for class 3 (percent),Precision for class 4 (percent),Precision for class 5 (percent),Precision for class 6 (percent),Recall for class 0 (percent),Recall for class 1 (percent),Recall for class 2 (percent),Recall for class 3 (percent),Recall for class 4 (percent),Recall for class 5 (percent),Recall for class 6 (percent),FalseAlarmRate for class0 (percent),FalseAlarmRate for class1 (percent),FalseAlarmRate for class2 (percent),FalseAlarmRate for class3 (percent),FalseAlarmRate for class4 (percent),FalseAlarmRate for class5 (percent),FalseAlarmRate for class6 (percent)
0,AL-FixedUncertainty-LB-b0.2-,0.200498785,96.51570417,79.67455419,79.34424473,78.39138176,80.322256,2.875157064,87.3010196,79.66452462,87.40946124,89.75946545,84.4014205,74.41229424,63.47943545,69.32489134,85.11903671,88.96048537,89.23749113,80.24294486,72.00193403,58.56604571,76.8779361,82.85283511,85.91314199,90.28863294,89.02304637,77.05132872,69.31949858,63.13698394,87.52315943,6.118800992,10.36253279,1.438181558,0.142616275,0.815283481,0.585403933,0.663280416
1,AL-VarUncertainty-LB-b0.2-,0.200689487,97.44668566,78.37494108,78.22610334,77.31207866,79.1631958,3.175438845,86.17670547,77.8030978,86.05402103,88.81910085,83.32081748,74.62950179,61.52439005,66.31438551,84.79346656,88.78484382,87.38429414,78.85956346,70.22092028,56.46324964,75.41336278,84.05831652,83.48649924,90.30232862,88.32186608,79.66508919,67.63509955,59.18638798,85.54509995,6.051921598,12.40558797,1.553044614,0.160583815,0.868107622,0.595126365,0.593699933
2,AL-RandVarUncertainty-LB-b0.2-,0.200689142,97.51818003,78.08703575,77.93591876,77.01120937,78.88483325,3.199795856,86.03104583,77.5813925,85.91415993,88.71961941,83.44058458,74.93890807,60.28901329,65.76317971,84.53158287,88.38775935,87.47177742,79.03340327,71.08054152,55.00533143,73.99312916,84.10652346,83.57670884,90.00448286,88.3722101,79.34838005,66.73022227,59.19157022,84.97025841,6.301155017,12.26840795,1.537822462,0.154375589,0.907511386,0.641325657,0.587972924
3,AL-SelSampling-LB-b0.2-,0.20066453,97.47691998,78.83400374,78.51358943,77.49651203,79.56003657,3.041698173,86.67387248,78.62258301,86.65929256,89.24973764,84.1655337,73.78373164,62.0079153,67.06344512,84.87892769,88.57958716,88.31929162,80.22313262,69.17000971,57.06811777,74.86523969,84.25020568,84.82104418,90.20052877,88.52352184,79.21368766,67.89845149,60.74278805,85.52023403,6.275746806,11.3522846,1.431725899,0.169213077,0.849158121,0.628640368,0.58511834
4,AL-FixedUncertainty-BOLE-b0.2-,0.200628214,97.60656554,79.69265499,79.2749872,78.47233599,80.09510086,3.495054366,84.68680509,75.56281684,83.9746029,86.78703789,85.2840566,78.57322403,63.30243344,72.19277294,84.01561157,83.30478723,87.91141844,82.66824664,79.42599129,58.62492587,76.29349201,81.07749041,84.6571469,85.69232018,88.07182413,77.75027303,68.80122195,68.51154488,87.18137494,9.736518479,11.21443279,1.210802959,0.095734655,0.806989794,0.65596253,0.744939358
5,AL-VarUncertainty-BOLE-b0.2-,0.200689487,97.66258907,79.66364507,79.52700187,78.96136013,80.1014476,3.437152909,84.9513091,75.97355776,84.22261668,87.04766563,85.66042622,78.89974418,63.90842566,72.35476739,83.9272669,83.55482733,88.11603372,82.75576568,80.22132214,60.43624088,76.57567413,81.06965704,84.90214313,86.00559123,88.77803882,77.63014197,67.81207205,68.58409627,86.99804973,9.589730532,11.03815445,1.213132132,0.091030929,0.737595775,0.646878798,0.743547748
6,AL-RandVarUncertainty-BOLE-b0.2-,0.20068897,97.82332224,79.80191791,79.26405373,78.34806877,80.20286594,3.515297466,84.60861394,75.43790712,83.85092526,86.7178495,85.35231136,78.84604934,63.3401267,72.05001117,83.94602967,83.27334223,87.78484035,82.65579122,78.91264574,58.77317448,75.98333496,81.05335241,84.43863293,85.67756556,88.23208592,78.81689115,68.68324028,68.51557552,87.05607021,9.733836802,11.34573462,1.214122489,0.10043838,0.800445829,0.667707511,0.744796629
7,AL-SelSampling-BOLE-b0.2-,0.200677955,97.74386185,79.29440312,79.3378308,78.92373083,79.75788994,3.495284248,84.75062477,75.63249573,84.00910851,86.80974477,85.59485513,78.86226768,62.91200189,72.53138012,84.07220709,83.19057737,87.85862764,83.01833538,79.52259012,59.9870174,76.99029459,81.89867329,84.84629909,85.78684862,88.33892711,78.2271569,66.16348889,68.5748834,86.36762555,9.839289003,11.28228383,1.185090361,0.095769241,0.733868865,0.632029025,0.698659416
8,AL-FixedUncertainty-DACC-b0.2-,0.005624497,55.87649752,13.19034593,34.90614136,62.87200127,24.28302536,13.84339335,43.11403207,3.72643317,12.90566586,49.71960397,5.281635094,52.72259657,19.33801735,9.524533855,10.11956346,46.96237511,50.95789321,55.72410852,68.97642845,75.16344624,56.31796274,86.00179463,19.89964124,71.57094398,2.811993064,53.73134328,11.25460866,5.277249957,5.435397367,18.25777686,68.29388232,0.128911451,10.01291795,0.064092357,0.11454018,0.031632358
9,AL-VarUncertainty-DACC-b0.2-,0.200689487,89.87277579,70.70834565,74.39094539,76.99205083,71.96008816,4.102246596,82.47545662,71.69453288,81.87795688,85.30318733,81.87708945,74.4668249,54.05295391,67.05078006,74.80742548,81.56858395,84.75142651,80.62445838,79.09467761,62.10909789,74.28158297,76.51452852,82.18981307,85.86224546,83.16971528,70.36403349,47.85210155,61.10669661,73.1760117,10.65701082,14.70076685,1.310663943,0.088419669,0.484988251,0.651988397,0.821888236
